query,mode,title,label
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Mobile App Development with Flutter,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,baseline,Advanced Web Development with Modern Stack,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Future of Artificial Intelligence in Education,TP
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Sertifikasi Akuntansi Manajemen Profesional (CMA),FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Sertifikasi Bahasa Inggris TOEFL ITP,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Mobile App Development with Flutter,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Year-End Tech Trends Review 2025,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Sertifikasi Digital Marketing for Business,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Sertifikasi Project Management Professional (PMP),FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Sustainable Business Practices in ASEAN,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Advanced Web Development with Modern Stack,FN
Ada event bertema ‘Artificial Intelligence’ di UIB antara Oktober–Desember 2025?,engineered,Certified Cloud Computing Specialist,FN
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,baseline,Sertifikasi Digital Marketing for Business,TP
Kapan dan di mana ‘Sertifikasi Digital Marketing for Business’ diadakan?,engineered,Sertifikasi Digital Marketing for Business,TP
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Future of Artificial Intelligence in Education,TP
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Blockchain Technology and Cryptocurrency Trends,FN
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Career Development in Tech Industry 2025,FN
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Year-End Tech Trends Review 2025,FN
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,Sustainable Business Practices in ASEAN,FN
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,Future of Artificial Intelligence in Education,TP
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,Sustainable Business Practices in ASEAN,FN
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,Blockchain Technology and Cryptocurrency Trends,FN
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,Career Development in Tech Industry 2025,FN
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,Year-End Tech Trends Review 2025,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Professional Data Analytics Certificate,TP
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Blockchain Technology and Cryptocurrency Trends,TP
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Sertifikasi Project Management Professional (PMP),TP
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Cybersecurity Professional Certification,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Career Development in Tech Industry 2025,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Mobile App Development with Flutter,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Year-End Tech Trends Review 2025,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,Advanced Web Development with Modern Stack,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Sertifikasi Project Management Professional (PMP),TP
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Professional Data Analytics Certificate,TP
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Blockchain Technology and Cryptocurrency Trends,TP
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Career Development in Tech Industry 2025,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Mobile App Development with Flutter,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Year-End Tech Trends Review 2025,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Advanced Web Development with Modern Stack,FN
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,Cybersecurity Professional Certification,FN
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Professional Data Analytics Certificate,TP
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Blockchain Technology and Cryptocurrency Trends,TP
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Cybersecurity Professional Certification,TP
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,Career Development in Tech Industry 2025,TP
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Professional Data Analytics Certificate,TP
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Blockchain Technology and Cryptocurrency Trends,TP
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Cybersecurity Professional Certification,TP
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,Career Development in Tech Industry 2025,TP
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Advanced Web Development with Modern Stack,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Sertifikasi Project Management Professional (PMP),FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Professional Data Analytics Certificate,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Blockchain Technology and Cryptocurrency Trends,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Cybersecurity Professional Certification,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Career Development in Tech Industry 2025,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Mobile App Development with Flutter,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,Year-End Tech Trends Review 2025,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Mobile App Development with Flutter,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Year-End Tech Trends Review 2025,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Advanced Web Development with Modern Stack,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Sertifikasi Project Management Professional (PMP),FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Professional Data Analytics Certificate,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Blockchain Technology and Cryptocurrency Trends,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Cybersecurity Professional Certification,FN
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,Career Development in Tech Industry 2025,FN
Ada acara di bulan 11?,baseline,Cybersecurity Professional Certification,TP
Ada acara di bulan 11?,baseline,Career Development in Tech Industry 2025,TP
Ada acara di bulan 11?,baseline,Professional Data Analytics Certificate,TP
Ada acara di bulan 11?,baseline,Blockchain Technology and Cryptocurrency Trends,TP
Ada acara di bulan 11?,engineered,Professional Data Analytics Certificate,TP
Ada acara di bulan 11?,engineered,Blockchain Technology and Cryptocurrency Trends,TP
Ada acara di bulan 11?,engineered,Cybersecurity Professional Certification,TP
Ada acara di bulan 11?,engineered,Career Development in Tech Industry 2025,TP
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,Future of Artificial Intelligence in Education,TP
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,Sustainable Business Practices in ASEAN,FN
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,Blockchain Technology and Cryptocurrency Trends,FN
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,Career Development in Tech Industry 2025,FN
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,Year-End Tech Trends Review 2025,FN
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,Future of Artificial Intelligence in Education,TP
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,Sustainable Business Practices in ASEAN,TP
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,Blockchain Technology and Cryptocurrency Trends,TP
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,Career Development in Tech Industry 2025,TP
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,Year-End Tech Trends Review 2025,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Future of Artificial Intelligence in Education,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Certified Cloud Computing Specialist,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Sertifikasi Akuntansi Manajemen Profesional (CMA),TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Sertifikasi Bahasa Inggris TOEFL ITP,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Sertifikasi Project Management Professional (PMP),TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Sustainable Business Practices in ASEAN,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Sertifikasi Digital Marketing for Business,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Sertifikasi Project Management Professional (PMP),TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Sustainable Business Practices in ASEAN,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Sertifikasi Digital Marketing for Business,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Future of Artificial Intelligence in Education,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Certified Cloud Computing Specialist,TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Sertifikasi Akuntansi Manajemen Profesional (CMA),TP
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Sertifikasi Bahasa Inggris TOEFL ITP,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,Professional Data Analytics Certificate,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,Blockchain Technology and Cryptocurrency Trends,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,Cybersecurity Professional Certification,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,Career Development in Tech Industry 2025,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,Professional Data Analytics Certificate,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,Blockchain Technology and Cryptocurrency Trends,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,Cybersecurity Professional Certification,TP
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,Career Development in Tech Industry 2025,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Blockchain Technology and Cryptocurrency Trends,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Sertifikasi Digital Marketing for Business,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Future of Artificial Intelligence in Education,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Certified Cloud Computing Specialist,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Sertifikasi Akuntansi Manajemen Profesional (CMA),TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Professional Data Analytics Certificate,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Cybersecurity Professional Certification,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Career Development in Tech Industry 2025,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Sertifikasi Bahasa Inggris TOEFL ITP,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Sertifikasi Project Management Professional (PMP),TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Sustainable Business Practices in ASEAN,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Advanced Web Development with Modern Stack,FN
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Mobile App Development with Flutter,FN
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Year-End Tech Trends Review 2025,FN
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Sertifikasi Digital Marketing for Business,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Certified Cloud Computing Specialist,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Sertifikasi Akuntansi Manajemen Profesional (CMA),TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Sertifikasi Bahasa Inggris TOEFL ITP,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Sertifikasi Project Management Professional (PMP),TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Sustainable Business Practices in ASEAN,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Career Development in Tech Industry 2025,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Mobile App Development with Flutter,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Future of Artificial Intelligence in Education,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Professional Data Analytics Certificate,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Blockchain Technology and Cryptocurrency Trends,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Cybersecurity Professional Certification,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Year-End Tech Trends Review 2025,TP
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Advanced Web Development with Modern Stack,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,Professional Data Analytics Certificate,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,Blockchain Technology and Cryptocurrency Trends,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,Cybersecurity Professional Certification,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,Career Development in Tech Industry 2025,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,Professional Data Analytics Certificate,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,Blockchain Technology and Cryptocurrency Trends,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,Cybersecurity Professional Certification,TP
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,Career Development in Tech Industry 2025,TP
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,Blockchain Technology and Cryptocurrency Trends,TP
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,Career Development in Tech Industry 2025,TP
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,Professional Data Analytics Certificate,FN
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,Cybersecurity Professional Certification,FN
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,Career Development in Tech Industry 2025,TP
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,Professional Data Analytics Certificate,FN
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,Blockchain Technology and Cryptocurrency Trends,FN
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,Cybersecurity Professional Certification,FN
webinar uib nov 2025 apa aja?,baseline,Blockchain Technology and Cryptocurrency Trends,FN
webinar uib nov 2025 apa aja?,baseline,Career Development in Tech Industry 2025,FN
webinar uib nov 2025 apa aja?,engineered,Career Development in Tech Industry 2025,FN
webinar uib nov 2025 apa aja?,engineered,Blockchain Technology and Cryptocurrency Trends,FN
