query,mode,duration_ms,model,error,response
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,baseline,1496,gemini-2.0-flash,,"Berikut detail webinar ‘Future of Artificial Intelligence in Education’ (Data resmi UIB_OFFICIAL):

*   **Nama Acara:** Future of Artificial Intelligence in Education
*   **Tanggal:** 2025-10-12
*   **Waktu:** 14:00-16:00
*   **Lokasi:** Zoom Meeting
*   **Biaya:** Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum
*   **Kontak:** info@uib.ac.id (Tautan pendaftaran tidak tersedia dalam data)"
Bagaimana cara mendaftar webinar ‘Future of Artificial Intelligence in Education’? Sertakan tautan jika ada.,engineered,1548,gemini-2.0-flash,,"Berikut detail webinar 'Future of Artificial Intelligence in Education' (Data resmi UIB_OFFICIAL):

*   **Nama Acara:** Future of Artificial Intelligence in Education
*   **Tanggal:** 12 Oktober 2025
*   **Waktu:** 14:00-16:00
*   **Lokasi:** Zoom Meeting
*   **Biaya:** Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum
*   **Kontak:** info@uib.ac.id (tautan pendaftaran tidak tersedia dalam data)"
Sebutkan 3 event UIB terdekat mulai hari ini.,baseline,2185,gemini-2.0-flash,,"Berikut 3 event UIB terdekat mulai hari ini (Data resmi UIB_OFFICIAL):

1.  **CERTIFICATION - Sertifikasi Project Management Professional (PMP)** - Tanggal: 2025-10-28 - Waktu: 09:00-17:30 - Lokasi: Ruang Seminar UIB, Lantai 3 - Biaya: Rp 850.000 - Kontak: management@uib.ac.id
2.  **CERTIFICATION - Professional Data Analytics Certificate** - Tanggal: 2025-11-08 - Waktu: 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
3.  **WEBINAR - Blockchain Technology and Cryptocurrency Trends** - Tanggal: 2025-11-15 - Waktu: 19:00-21:00 - Platform: YouTube Live UIB - Biaya: Gratis untuk semua peserta - Kontak: tautan tidak tersedia dalam data"
Sebutkan 3 event UIB terdekat mulai hari ini.,engineered,2697,gemini-2.0-flash,,"Berikut 3 event UIB terdekat mulai 4 Oktober 2025 (Data resmi UIB_OFFICIAL):

1.  **SERTIFIKASI** - Sertifikasi Project Management Professional (PMP) - Tanggal: 2025-10-28 - Waktu: 09:00-17:30 - Lokasi: Ruang Seminar UIB, Lantai 3 - Biaya: Rp 850.000 - Kontak: management@uib.ac.id
2.  **SERTIFIKASI** - Professional Data Analytics Certificate - Tanggal: 2025-11-08 - Waktu: 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
3.  **WEBINAR** - Blockchain Technology and Cryptocurrency Trends - Tanggal: 2025-11-15 - Waktu: 19:00-21:00 - Platform: YouTube Live UIB - Biaya: Gratis - Kontak: tautan tidak tersedia dalam data"
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,2354,gemini-2.0-flash,,"Berikut event UIB untuk November 2025 (Data resmi UIB_OFFICIAL):

1.  **CERTIFICATION - Professional Data Analytics Certificate** - Tanggal: 2025-11-08 - Waktu: 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
2.  **WEBINAR - Blockchain Technology and Cryptocurrency Trends** - Tanggal: 2025-11-15 - Waktu: 19:00-21:00 - Lokasi: YouTube Live UIB - Biaya: Gratis untuk semua peserta - Kontak: tautan tidak tersedia dalam data
3.  **CERTIFICATION - Cybersecurity Professional Certification** - Tanggal: 2025-11-22 - Waktu: 08:30-17:30 - Lokasi: UIB Security Lab, Gedung D - Biaya: Rp 900.000 - Kontak: cybersec@uib.ac.id
4.  **WEBINAR - Career Development in Tech Industry 2025** - Tanggal: 2025-11-29 - Waktu: 16:00-18:00 - Lokasi: Zoom Webinar - Biaya: tautan tidak tersedia dalam data - Kontak: tautan tidak tersedia dalam data"
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,1956,gemini-2.0-flash,,"Berikut daftar event UIB untuk November 2025 (Data resmi UIB_OFFICIAL):

1.  **CERTIFICATION - Professional Data Analytics Certificate**
    *   Tanggal: 2025-11-08
    *   Waktu: 09:00-17:00
    *   Lokasi: UIB Data Science Lab, Gedung B Lt.3

2.  **WEBINAR - Blockchain Technology and Cryptocurrency Trends**
    *   Tanggal: 2025-11-15
    *   Waktu: 19:00-21:00
    *   Lokasi: YouTube Live UIB

3.  **CERTIFICATION - Cybersecurity Professional Certification**
    *   Tanggal: 2025-11-22
    *   Waktu: 08:30-17:30
    *   Lokasi: UIB Security Lab, Gedung D

4.  **WEBINAR - Career Development in Tech Industry 2025**
    *   Tanggal: 2025-11-29
    *   Waktu: 16:00-18:00
    *   Lokasi: Zoom Webinar"
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,910,gemini-2.0-flash,,"Berikut kontak resmi UIB untuk informasi event dan situs rujukannya (Data resmi UIB_OFFICIAL):

*   Kontak Umum UIB: info@uib.ac.id
*   Website: https://uib.ac.id"
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,1005,gemini-2.0-flash,,"Kontak umum UIB: info@uib.ac.id
Website: https://uib.ac.id (Data resmi UIB_OFFICIAL)"
Ada acara di bulan 11?,baseline,2521,gemini-2.0-flash,,"Berikut acara UIB untuk November 2025 (Data resmi UIB_OFFICIAL):

1.  **CERTIFICATION - Professional Data Analytics Certificate** - Tanggal: 2025-11-08 - Waktu: 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
2.  **WEBINAR - Blockchain Technology and Cryptocurrency Trends** - Tanggal: 2025-11-15 - Waktu: 19:00-21:00 - Platform: YouTube Live UIB - Biaya: Gratis untuk semua peserta - Kontak: Tidak ada kontak khusus selain info@uib.ac.id
3.  **CERTIFICATION - Cybersecurity Professional Certification** - Tanggal: 2025-11-22 - Waktu: 08:30-17:30 - Lokasi: UIB Security Lab, Gedung D - Biaya: Rp 900.000 - Kontak: cybersec@uib.ac.id
4.  **WEBINAR - Career Development in Tech Industry 2025** - Tanggal: 2025-11-29 - Waktu: 16:00-18:00 - Platform: Zoom Webinar - Biaya: Tidak ada biaya - Kontak: Tidak ada kontak khusus selain info@uib.ac.id"
Ada acara di bulan 11?,engineered,2244,gemini-2.0-flash,,"Berikut acara UIB untuk November 2025 (Data resmi UIB_OFFICIAL):
1. CERTIFICATION - Professional Data Analytics Certificate - Tanggal: 2025-11-08 - Waktu: 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
2. WEBINAR - Blockchain Technology and Cryptocurrency Trends - Tanggal: 2025-11-15 - Waktu: 19:00-21:00 - Platform: YouTube Live UIB - Biaya: Gratis - Kontak: tautan tidak tersedia dalam data
3. CERTIFICATION - Cybersecurity Professional Certification - Tanggal: 2025-11-22 - Waktu: 08:30-17:30 - Lokasi: UIB Security Lab, Gedung D - Biaya: Rp 900.000 - Kontak: cybersec@uib.ac.id
4. WEBINAR - Career Development in Tech Industry 2025 - Tanggal: 2025-11-29 - Waktu: 16:00-18:00 - Platform: Zoom Webinar - Biaya: Gratis - Kontak: tautan tidak tersedia dalam data"
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,993,gemini-2.0-flash,,"Berikut acara UIB untuk minggu depan (6 Oktober - 12 Oktober 2025) (Data resmi UIB_OFFICIAL):

Tidak ada acara yang tersedia dalam data untuk rentang tanggal tersebut."
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,1090,gemini-2.0-flash,,"Berikut acara UIB untuk minggu depan, 6 Oktober - 12 Oktober 2025 (Data resmi UIB_OFFICIAL):

Tidak ada acara yang tersedia dalam data untuk rentang tanggal tersebut."
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,1527,gemini-2.0-flash,,"Berikut webinar UIB terdekat (Data resmi UIB_OFFICIAL):

1.  **WEBINAR - Future of Artificial Intelligence in Education**
    *   Tanggal: 2025-10-12
    *   Waktu: 14:00-16:00
    *   Lokasi: Zoom Meeting
    *   Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum
    *   Kontak: info@uib.ac.id (kontak umum UIB)"
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,3536,gemini-2.0-flash,,"Berikut webinar UIB yang akan datang (Data resmi UIB_OFFICIAL):

1.  **WEBINAR - Future of Artificial Intelligence in Education** 
    *   Tanggal: 12 Oktober 2025
    *   Waktu: 14:00-16:00
    *   Platform: Zoom Meeting
    *   Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum
    *   Kontak: info@uib.ac.id (informasi umum UIB)

2.  **WEBINAR - Sustainable Business Practices in ASEAN**
    *   Tanggal: 25 Oktober 2025
    *   Waktu: 13:00-15:30
    *   Platform: Microsoft Teams
    *   Biaya: Gratis untuk seluruh peserta
    *   Kontak: info@uib.ac.id (informasi umum UIB)

3.  **WEBINAR - Blockchain Technology and Cryptocurrency Trends**
    *   Tanggal: 15 November 2025
    *   Waktu: 19:00-21:00
    *   Platform: YouTube Live UIB
    *   Biaya: Gratis untuk semua peserta
    *   Kontak: info@uib.ac.id (informasi umum UIB)

4.  **WEBINAR - Career Development in Tech Industry 2025**
    *   Tanggal: 29 November 2025
    *   Waktu: 16:00-18:00
    *   Platform: Zoom Webinar
    *   Biaya: Prioritas mahasiswa UIB, terbuka untuk umum
    *   Kontak: info@uib.ac.id (informasi umum UIB)

5.  **WEBINAR - Year-End Tech Trends Review 2025**
    *   Tanggal: 13 Desember 2025
    *   Waktu: 20:00-22:00
    *   Platform: UIB Virtual Campus
    *   Biaya: Gratis untuk semua peserta
    *   Kontak: info@uib.ac.id (informasi umum UIB)

Webinar UIB terdekat adalah ""Future of Artificial Intelligence in Education"" pada 12 Oktober 2025."
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,4356,gemini-2.0-flash,,"Berikut event UIB untuk Oktober 2025 (Data resmi UIB_OFFICIAL):

1.  **SERTIFIKASI** - Sertifikasi Digital Marketing for Business
    *   Tanggal: 2025-10-05
    *   Waktu: 09:00-16:00
    *   Lokasi: Gedung UIB Tower, Lantai 8
    *   Biaya: Rp 500.000
    *   Kontak: marketing@uib.ac.id

2.  **WEBINAR** - Future of Artificial Intelligence in Education
    *   Tanggal: 2025-10-12
    *   Waktu: 14:00-16:00
    *   Platform: Zoom Meeting
    *   Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum
    *   Kontak: tautan tidak tersedia dalam data

3.  **SERTIFIKASI** - Certified Cloud Computing Specialist
    *   Tanggal: 2025-10-18
    *   Waktu: 08:00-17:00
    *   Lokasi: Lab Komputer UIB, Gedung C
    *   Biaya: Rp 750.000
    *   Kontak: it-certification@uib.ac.id

4.  **SERTIFIKASI** - Sertifikasi Akuntansi Manajemen Profesional (CMA)
    *   Tanggal: 2025-10-22
    *   Waktu: 08:30-17:00
    *   Lokasi: Auditorium UIB
    *   Biaya: Rp 1.200.000
    *   Kontak: akuntansi@uib.ac.id

5.  **SERTIFIKASI** - Sertifikasi Bahasa Inggris TOEFL ITP
    *   Tanggal: 2025-10-25
    *   Waktu: 08:00-12:00
    *   Lokasi: Language Center UIB
    *   Biaya: Rp 300.000
    *   Kontak: languagecenter@uib.ac.id

6.  **WEBINAR** - Sustainable Business Practices in ASEAN
    *   Tanggal: 2025-10-25
    *   Waktu: 13:00-15:30
    *   Platform: Microsoft Teams
    *   Biaya: Gratis untuk seluruh peserta
    *   Kontak: tautan tidak tersedia dalam data

7.  **SERTIFIKASI** - Sertifikasi Project Management Professional (PMP)
    *   Tanggal: 2025-10-28
    *   Waktu: 09:00-17:30
    *   Lokasi: Ruang Seminar UIB, Lantai 3
    *   Biaya: Rp 850.000
    *   Kontak: management@uib.ac.id"
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,3912,gemini-2.0-flash,,"Berikut event UIB untuk Oktober 2025 berdasarkan tanggal (Data resmi UIB_OFFICIAL):

1.  **SERTIFIKASI** - Sertifikasi Digital Marketing for Business
    *   Tanggal: 2025-10-05
    *   Waktu: 09:00-16:00
    *   Lokasi: Gedung UIB Tower, Lantai 8
    *   Biaya: Rp 500.000
    *   Kontak: marketing@uib.ac.id

2.  **WEBINAR** - Future of Artificial Intelligence in Education
    *   Tanggal: 2025-10-12
    *   Waktu: 14:00-16:00
    *   Platform: Zoom Meeting
    *   Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum

3.  **SERTIFIKASI** - Certified Cloud Computing Specialist
    *   Tanggal: 2025-10-18
    *   Waktu: 08:00-17:00
    *   Lokasi: Lab Komputer UIB, Gedung C
    *   Biaya: Rp 750.000
    *   Kontak: it-certification@uib.ac.id

4.  **SERTIFIKASI** - Sertifikasi Akuntansi Manajemen Profesional (CMA)
    *   Tanggal: 2025-10-22
    *   Waktu: 08:30-17:00
    *   Lokasi: Auditorium UIB
    *   Biaya: Rp 1.200.000
    *   Kontak: akuntansi@uib.ac.id

5.  **SERTIFIKASI** - Sertifikasi Bahasa Inggris TOEFL ITP
    *   Tanggal: 2025-10-25
    *   Waktu: 08:00-12:00
    *   Lokasi: Language Center UIB
    *   Biaya: Rp 300.000
    *   Kontak: languagecenter@uib.ac.id

6.  **WEBINAR** - Sustainable Business Practices in ASEAN
    *   Tanggal: 2025-10-25
    *   Waktu: 13:00-15:30
    *   Platform: Microsoft Teams
    *   Biaya: Gratis untuk seluruh peserta

7.  **SERTIFIKASI** - Sertifikasi Project Management Professional (PMP)
    *   Tanggal: 2025-10-28
    *   Waktu: 09:00-17:30
    *   Lokasi: Ruang Seminar UIB, Lantai 3
    *   Biaya: Rp 850.000
    *   Kontak: management@uib.ac.id"
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,3109,gemini-2.0-flash,,"Berikut webinar dan sertifikasi UIB untuk November 2025 (Data resmi UIB_OFFICIAL):

**Webinar:**

1.  **WEBINAR - Blockchain Technology and Cryptocurrency Trends**
    *   Tanggal: 2025-11-15
    *   Waktu: 19:00-21:00
    *   Platform: YouTube Live UIB
    *   Biaya: Gratis untuk semua peserta
    *   Kontak: Tidak ada kontak spesifik, gunakan info@uib.ac.id untuk pertanyaan umum.

2.  **WEBINAR - Career Development in Tech Industry 2025**
    *   Tanggal: 2025-11-29
    *   Waktu: 16:00-18:00
    *   Platform: Zoom Webinar
    *   Biaya: Tidak disebutkan, diasumsikan gratis.
    *   Kontak: Tidak ada kontak spesifik, gunakan info@uib.ac.id untuk pertanyaan umum.

**Sertifikasi:**

1.  **CERTIFICATION - Professional Data Analytics Certificate**
    *   Tanggal: 2025-11-08
    *   Waktu: 09:00-17:00
    *   Lokasi: UIB Data Science Lab, Gedung B Lt.3
    *   Biaya: Rp 800.000
    *   Kontak: datascience@uib.ac.id

2.  **CERTIFICATION - Cybersecurity Professional Certification**
    *   Tanggal: 2025-11-22
    *   Waktu: 08:30-17:30
    *   Lokasi: UIB Security Lab, Gedung D
    *   Biaya: Rp 900.000
    *   Kontak: cybersec@uib.ac.id"
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,2674,gemini-2.0-flash,,"Berikut webinar dan sertifikasi UIB untuk November 2025 (Data resmi UIB_OFFICIAL):

**Webinar:**
1. WEBINAR - Blockchain Technology and Cryptocurrency Trends - 2025-11-15 - 19:00-21:00 - Platform: YouTube Live UIB - Biaya: Gratis untuk semua peserta - Kontak: Tidak tersedia dalam data
2. WEBINAR - Career Development in Tech Industry 2025 - 2025-11-29 - 16:00-18:00 - Platform: Zoom Webinar - Biaya: Tidak tersedia dalam data - Kontak: Tidak tersedia dalam data

**Sertifikasi:**
1. CERTIFICATION - Professional Data Analytics Certificate - 2025-11-08 - 09:00-17:00 - Lokasi: UIB Data Science Lab, Gedung B Lt.3 - Biaya: Rp 800.000 - Kontak: datascience@uib.ac.id
2. CERTIFICATION - Cybersecurity Professional Certification - 2025-11-22 - 08:30-17:30 - Lokasi: UIB Security Lab, Gedung D - Biaya: Rp 900.000 - Kontak: cybersec@uib.ac.id"
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,5908,gemini-2.0-flash,,"Berikut event UIB per bulan (Oktober, November, Desember 2025) (Data resmi UIB_OFFICIAL):

**OKTOBER 2025:**

*   **CERTIFICATION - Sertifikasi Digital Marketing for Business**
    *   Tanggal: 2025-10-05
    *   Waktu: 09:00-16:00
    *   Lokasi: Gedung UIB Tower, Lantai 8
    *   Biaya: Rp 500.000
    *   Kontak: marketing@uib.ac.id

*   **WEBINAR - Future of Artificial Intelligence in Education**
    *   Tanggal: 2025-10-12
    *   Waktu: 14:00-16:00
    *   Platform: Zoom Meeting
    *   Biaya: Gratis untuk mahasiswa UIB, Rp 50.000 untuk umum
    *   Kontak: tautan tidak tersedia dalam data

*   **CERTIFICATION - Certified Cloud Computing Specialist**
    *   Tanggal: 2025-10-18
    *   Waktu: 08:00-17:00
    *   Lokasi: Lab Komputer UIB, Gedung C
    *   Biaya: Rp 750.000
    *   Kontak: it-certification@uib.ac.id

*   **CERTIFICATION - Sertifikasi Akuntansi Manajemen Profesional (CMA)**
    *   Tanggal: 2025-10-22
    *   Waktu: 08:30-17:00
    *   Lokasi: Auditorium UIB
    *   Biaya: Rp 1.200.000
    *   Kontak: akuntansi@uib.ac.id

*   **CERTIFICATION - Sertifikasi Bahasa Inggris TOEFL ITP**
    *   Tanggal: 2025-10-25
    *   Waktu: 08:00-12:00
    *   Lokasi: Language Center UIB
    *   Biaya: Rp 300.000
    *   Kontak: languagecenter@uib.ac.id

*   **WEBINAR - Sustainable Business Practices in ASEAN**
    *   Tanggal: 2025-10-25
    *   Waktu: 13:00-15:30
    *   Platform: Microsoft Teams
    *   Biaya: Gratis untuk seluruh peserta
    *   Kontak: tautan tidak tersedia dalam data

*   **CERTIFICATION - Sertifikasi Project Management Professional (PMP)**
    *   Tanggal: 2025-10-28
    *   Waktu: 09:00-17:30
    *   Lokasi: Ruang Seminar UIB, Lantai 3
    *   Biaya: Rp 850.000
    *   Kontak: management@uib.ac.id

**NOVEMBER 2025:**

*   **CERTIFICATION - Professional Data Analytics Certificate**
    *   Tanggal: 2025-11-08
    *   Waktu: 09:00-17:00
    *   Lokasi: UIB Data Science Lab, Gedung B Lt.3
    *   Biaya: Rp 800.000
    *   Kontak: datascience@uib.ac.id

*   **WEBINAR - Blockchain Technology and Cryptocurrency Trends**
    *   Tanggal: 2025-11-15
    *   Waktu: 19:00-21:00
    *   Platform: YouTube Live UIB
    *   Biaya: Gratis untuk semua peserta
    *   Kontak: tautan tidak tersedia dalam data

*   **CERTIFICATION - Cybersecurity Professional Certification**
    *   Tanggal: 2025-11-22
    *   Waktu: 08:30-17:30
    *   Lokasi: UIB Security Lab, Gedung D
    *   Biaya: Rp 900.000
    *   Kontak: cybersec@uib.ac.id

*   **WEBINAR - Career Development in Tech Industry 2025**
    *   Tanggal: 2025-11-29"
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,5219,gemini-2.0-flash,,"Berikut event UIB per bulan (Oktober, November, Desember 2025) (Data resmi UIB_OFFICIAL):

**📅 OKTOBER 2025:**

*   **Sertifikasi Digital Marketing for Business** - 2025-10-05, 09:00-16:00, Gedung UIB Tower Lantai 8, Rp 500.000, marketing@uib.ac.id
*   **Webinar Future of Artificial Intelligence in Education** - 2025-10-12, 14:00-16:00, Zoom Meeting, Gratis (Mahasiswa UIB) / Rp 50.000 (Umum)
*   **Sertifikasi Certified Cloud Computing Specialist** - 2025-10-18, 08:00-17:00, Lab Komputer UIB Gedung C, Rp 750.000, it-certification@uib.ac.id
*   **Sertifikasi Akuntansi Manajemen Profesional (CMA)** - 2025-10-22, 08:30-17:00, Auditorium UIB, Rp 1.200.000, akuntansi@uib.ac.id
*   **Sertifikasi Bahasa Inggris TOEFL ITP** - 2025-10-25, 08:00-12:00, Language Center UIB, Rp 300.000, languagecenter@uib.ac.id
*   **Webinar Sustainable Business Practices in ASEAN** - 2025-10-25, 13:00-15:30, Microsoft Teams, Gratis
*   **Sertifikasi Project Management Professional (PMP)** - 2025-10-28, 09:00-17:30, Ruang Seminar UIB Lantai 3, Rp 850.000, management@uib.ac.id

**📅 NOVEMBER 2025:**

*   **Sertifikasi Professional Data Analytics Certificate** - 2025-11-08, 09:00-17:00, UIB Data Science Lab Gedung B Lt.3, Rp 800.000, datascience@uib.ac.id
*   **Webinar Blockchain Technology and Cryptocurrency Trends** - 2025-11-15, 19:00-21:00, YouTube Live UIB, Gratis
*   **Sertifikasi Cybersecurity Professional Certification** - 2025-11-22, 08:30-17:30, UIB Security Lab Gedung D, Rp 900.000, cybersec@uib.ac.id
*   **Webinar Career Development in Tech Industry 2025** - 2025-11-29, 16:00-18:00, Zoom Webinar, Prioritas mahasiswa UIB, terbuka untuk umum

**📅 DESEMBER 2025:**

*   **Sertifikasi Mobile App Development with Flutter** - 2025-12-06, 09:00-17:00, UIB Mobile Dev Studio Gedung A Lt.4, Rp 650.000, mobiledev@uib.ac.id
*   **Webinar Year-End Tech Trends Review 2025** - 2025-12-13, 20:00-22:00, UIB Virtual Campus, Gratis
*   **Sertifikasi Advanced Web Development with Modern Stack** - 2025-12-20, 09:00-16:00, UIB Innovation Hub Coworking Space, Rp 700.000, webdev@uib.ac.id"
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,1322,gemini-2.0-flash,,"Berikut lokasi setiap event UIB di November 2025 (Data resmi UIB_OFFICIAL):

1.  **Professional Data Analytics Certificate** - Lokasi: UIB Data Science Lab, Gedung B Lt.3
2.  **Blockchain Technology and Cryptocurrency Trends** - Lokasi: YouTube Live UIB (Platform online)
3.  **Cybersecurity Professional Certification** - Lokasi: UIB Security Lab, Gedung D
4.  **Career Development in Tech Industry 2025** - Lokasi: Zoom Webinar (Platform online)"
