query,mode,rater,relevance,accuracy,completeness,usefulness,json_valid
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,baseline,B,4,1,2,4,1
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,A,4,1,3,5,1
Daftar semua event UIB bulan November 2025 beserta tanggal dan lokasi.,engineered,B,5,1,5,4,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,A,4,1,3,3,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,baseline,B,3,1,3,4,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,A,4,1,4,3,1
Apa kontak resmi UIB untuk informasi event dan situs rujukannya?,engineered,B,3,1,5,5,1
Ada acara di bulan 11?,baseline,A,3,1,3,4,1
Ada acara di bulan 11?,baseline,B,3,1,4,3,0
Ada acara di bulan 11?,engineered,A,5,1,4,3,1
Ada acara di bulan 11?,engineered,B,4,1,4,5,0
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,A,3,1,4,4,0
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,B,3,1,4,4,0
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,A,4,0,4,4,1
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,B,3,1,4,5,1
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,A,3,1,4,3,1
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,B,4,1,4,2,0
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,A,4,0,4,4,1
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,B,3,1,4,4,0
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,A,3,1,4,3,1
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,B,3,1,3,2,1
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,A,5,1,4,4,1
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,B,3,1,3,5,1
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,A,3,1,2,4,1
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,B,4,0,1,3,1
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,A,4,1,4,4,1
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,B,3,1,4,5,1
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,A,3,0,4,3,0
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,B,3,1,3,4,1
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,A,4,1,4,4,0
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,B,4,0,4,4,1
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,A,2,0,3,3,0
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,B,3,1,2,3,1
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,A,4,1,5,3,1
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,B,3,1,4,5,1
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,A,2,1,3,4,1
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,B,4,0,4,5,1
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,A,4,1,4,5,1
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,B,4,1,5,4,1
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,baseline,A,2,1,3,3,0
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,baseline,B,3,1,3,4,1
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,engineered,A,5,1,4,3,1
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,engineered,B,3,1,5,5,1
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,baseline,A,4,1,3,3,0
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,baseline,B,3,1,3,3,1
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,engineered,A,5,1,4,4,1
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,engineered,B,4,1,5,5,1
webinar uib nov 2025 apa aja?,baseline,A,3,1,3,2,0
webinar uib nov 2025 apa aja?,baseline,B,3,1,2,3,0
webinar uib nov 2025 apa aja?,engineered,A,4,0,3,4,1
webinar uib nov 2025 apa aja?,engineered,B,5,1,4,3,1
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,baseline,A,2,0,4,4,1
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,baseline,B,4,1,4,2,0
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,engineered,A,5,1,3,4,1
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,engineered,B,4,0,5,3,1
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,baseline,A,3,1,4,2,0
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,baseline,B,3,1,3,2,1
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,engineered,A,5,1,4,4,1
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,engineered,B,4,1,4,5,1
Apakah ada event hibrida (online & offline) di Desember 2025?,baseline,A,3,1,3,3,0
Apakah ada event hibrida (online & offline) di Desember 2025?,baseline,B,3,1,4,4,1
Apakah ada event hibrida (online & offline) di Desember 2025?,engineered,A,5,1,5,5,1
Apakah ada event hibrida (online & offline) di Desember 2025?,engineered,B,3,1,3,5,1
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",baseline,A,3,1,4,3,1
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",baseline,B,2,0,3,2,1
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",engineered,A,4,1,5,4,1
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",engineered,B,4,1,5,4,1
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,baseline,A,4,1,4,2,1
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,baseline,B,3,1,3,3,0
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,engineered,A,3,1,5,4,1
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,engineered,B,5,1,3,5,1
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,baseline,A,4,1,3,2,0
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,baseline,B,3,1,3,4,1
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,engineered,A,5,1,5,5,0
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,engineered,B,5,1,4,5,1
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,baseline,A,4,1,4,3,1
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,baseline,B,4,0,3,3,1
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,engineered,A,4,1,3,4,1
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,engineered,B,4,1,5,4,1
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,baseline,A,3,1,4,3,1
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,baseline,B,3,1,4,3,1
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,engineered,A,3,1,5,5,1
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,engineered,B,5,1,4,5,1
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,baseline,A,3,1,5,3,0
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,baseline,B,3,0,3,4,1
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,engineered,A,4,1,4,4,1
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,engineered,B,4,1,5,5,1
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,baseline,A,4,1,3,4,1
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,baseline,B,4,0,2,3,1
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,engineered,A,4,1,4,5,1
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,engineered,B,5,1,4,4,1
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",baseline,A,3,1,3,4,0
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",baseline,B,3,1,3,4,1
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",engineered,A,5,1,5,3,1
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",engineered,B,3,1,5,4,1
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",baseline,A,3,1,3,4,1
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",baseline,B,4,0,4,3,1
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",engineered,A,5,1,3,4,1
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",engineered,B,4,1,4,5,1
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,baseline,A,4,1,4,4,1
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,baseline,B,4,1,3,3,1
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,engineered,A,4,1,5,5,1
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,engineered,B,3,1,5,5,1
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,baseline,A,4,1,3,4,1
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,baseline,B,4,1,4,2,1
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,engineered,A,4,1,5,4,1
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,engineered,B,3,1,5,5,1
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,baseline,A,3,0,2,3,1
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,baseline,B,4,0,3,4,1
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,engineered,A,3,1,5,4,1
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,engineered,B,4,1,5,3,0
Daftar event yang berlangsung setelah 15 November 2025.,baseline,A,5,1,3,3,0
Daftar event yang berlangsung setelah 15 November 2025.,baseline,B,3,1,3,4,0
Daftar event yang berlangsung setelah 15 November 2025.,engineered,A,4,1,5,4,1
Daftar event yang berlangsung setelah 15 November 2025.,engineered,B,4,1,4,4,1
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,baseline,A,3,1,4,3,0
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,baseline,B,4,1,3,3,0
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,engineered,A,5,1,4,3,1
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,engineered,B,3,1,4,5,1
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,baseline,A,3,1,4,3,0
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,baseline,B,4,0,4,3,1
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,engineered,A,5,1,3,4,1
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,engineered,B,5,1,3,4,1
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",baseline,A,3,1,3,3,0
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",baseline,B,4,1,5,5,0
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",engineered,A,3,0,4,5,1
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",engineered,B,4,0,4,4,1
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,baseline,A,4,1,3,5,0
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,baseline,B,4,0,3,3,0
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,engineered,A,5,1,3,3,1
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,engineered,B,5,0,3,5,1
Apakah ada event yang menyediakan e-certificate?,baseline,A,4,0,2,2,1
Apakah ada event yang menyediakan e-certificate?,baseline,B,3,1,5,3,0
Apakah ada event yang menyediakan e-certificate?,engineered,A,4,1,4,4,1
Apakah ada event yang menyediakan e-certificate?,engineered,B,4,1,4,5,1
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,baseline,A,4,1,3,4,1
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,baseline,B,3,1,4,3,0
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,engineered,A,4,1,4,4,1
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,engineered,B,4,1,5,5,1
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,baseline,A,4,1,2,3,1
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,baseline,B,4,0,3,3,1
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,engineered,A,4,1,5,4,1
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,engineered,B,4,1,4,3,1
Apakah ada event bilingual (ID/EN) di Q4 2025?,baseline,A,4,1,3,3,1
Apakah ada event bilingual (ID/EN) di Q4 2025?,baseline,B,4,0,4,4,1
Apakah ada event bilingual (ID/EN) di Q4 2025?,engineered,A,4,1,3,5,1
Apakah ada event bilingual (ID/EN) di Q4 2025?,engineered,B,4,1,5,5,0
Cek event yang ada di tanggal 10–20 November 2025.,baseline,A,3,0,3,3,1
Cek event yang ada di tanggal 10–20 November 2025.,baseline,B,4,1,3,3,1
Cek event yang ada di tanggal 10–20 November 2025.,engineered,A,4,1,3,4,1
Cek event yang ada di tanggal 10–20 November 2025.,engineered,B,3,1,4,5,1
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,baseline,A,3,1,3,3,0
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,baseline,B,5,0,3,4,1
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,engineered,A,4,1,4,4,1
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,engineered,B,4,1,4,5,1
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,baseline,A,3,0,2,4,1
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,baseline,B,3,1,5,4,1
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,engineered,A,3,1,4,5,1
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,engineered,B,5,1,4,5,1
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,baseline,A,4,0,4,3,0
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,baseline,B,4,1,4,2,1
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,engineered,A,5,1,4,5,0
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,engineered,B,4,1,3,5,1
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,baseline,A,5,1,3,2,1
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,baseline,B,4,1,3,4,1
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,engineered,A,4,1,4,4,1
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,engineered,B,4,1,3,3,1
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",baseline,A,3,1,3,2,1
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",baseline,B,3,1,4,4,1
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",engineered,A,3,1,4,3,1
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",engineered,B,5,1,5,4,1
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,baseline,A,4,1,3,3,1
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,baseline,B,3,1,3,3,0
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,engineered,A,4,1,5,5,1
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,engineered,B,5,1,5,5,1
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",baseline,A,3,1,3,4,1
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",baseline,B,4,1,2,3,1
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",engineered,A,5,1,5,5,1
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",engineered,B,4,1,4,5,1
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",baseline,A,4,1,2,3,0
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",baseline,B,4,1,2,3,0
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",engineered,A,4,1,5,4,1
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",engineered,B,4,0,5,3,1
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,baseline,A,5,1,3,4,1
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,baseline,B,4,1,3,3,1
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,engineered,A,5,1,5,4,1
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,engineered,B,4,1,5,4,1
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),baseline,A,2,1,3,4,1
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),baseline,B,4,1,2,4,1
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),engineered,A,3,1,4,5,1
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),engineered,B,5,1,5,4,1
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,baseline,A,4,1,4,3,0
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,baseline,B,4,1,5,1,1
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,engineered,A,5,1,4,4,1
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,engineered,B,4,1,4,4,1
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,baseline,A,3,1,3,2,1
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,baseline,B,3,1,2,2,1
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,engineered,A,3,1,5,3,0
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,engineered,B,4,0,4,4,1
Sebutkan semua event yang punya batas kuota peserta.,baseline,A,4,1,2,4,1
Sebutkan semua event yang punya batas kuota peserta.,baseline,B,2,1,2,2,1
Sebutkan semua event yang punya batas kuota peserta.,engineered,A,3,1,4,4,0
Sebutkan semua event yang punya batas kuota peserta.,engineered,B,5,0,4,5,1
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,baseline,A,3,0,4,2,1
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,baseline,B,2,0,4,4,1
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,engineered,A,3,1,4,5,1
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,engineered,B,5,1,3,5,1
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,baseline,A,3,1,4,3,0
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,baseline,B,2,1,2,2,1
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,engineered,A,5,1,5,3,1
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,engineered,B,5,0,4,5,1
webinar uib nov25 yang gratis apa aja?,baseline,A,3,1,3,3,1
webinar uib nov25 yang gratis apa aja?,baseline,B,4,1,3,2,1
webinar uib nov25 yang gratis apa aja?,engineered,A,3,1,3,5,1
webinar uib nov25 yang gratis apa aja?,engineered,B,4,1,5,5,1
Ada info pendaftaran untuk sertifikasi di minggu depan?,baseline,A,3,1,3,3,1
Ada info pendaftaran untuk sertifikasi di minggu depan?,baseline,B,3,1,3,2,0
Ada info pendaftaran untuk sertifikasi di minggu depan?,engineered,A,5,1,3,4,1
Ada info pendaftaran untuk sertifikasi di minggu depan?,engineered,B,4,1,4,5,1
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",baseline,A,3,1,3,3,1
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",baseline,B,3,1,3,4,1
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",engineered,A,4,1,5,3,1
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",engineered,B,4,1,4,4,1
Apakah ada tur kampus (campus tour) di Q4 2025?,baseline,A,2,1,3,2,0
Apakah ada tur kampus (campus tour) di Q4 2025?,baseline,B,3,1,4,3,0
Apakah ada tur kampus (campus tour) di Q4 2025?,engineered,A,3,1,3,3,1
Apakah ada tur kampus (campus tour) di Q4 2025?,engineered,B,4,1,5,3,0
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,baseline,A,3,1,4,3,0
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,baseline,B,3,1,4,3,0
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,engineered,A,4,0,4,4,0
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,engineered,B,4,1,4,5,1
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,baseline,A,3,0,3,4,0
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,baseline,B,4,1,4,4,0
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,engineered,A,5,1,5,4,1
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,engineered,B,4,1,4,4,0
Apakah ada event kolaborasi dengan kampus lain atau industri?,baseline,A,3,1,3,4,0
Apakah ada event kolaborasi dengan kampus lain atau industri?,baseline,B,3,1,3,3,1
Apakah ada event kolaborasi dengan kampus lain atau industri?,engineered,A,4,1,4,4,1
Apakah ada event kolaborasi dengan kampus lain atau industri?,engineered,B,4,1,3,5,1
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,baseline,A,2,0,2,3,1
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,baseline,B,3,1,4,2,0
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,engineered,A,4,1,5,4,1
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,engineered,B,5,1,5,5,1
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,baseline,A,3,1,3,4,0
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,baseline,B,3,1,4,2,1
