query,mode,rater,relevance,accuracy,completeness,usefulness,json_valid
Ada acara minggu depan? (tolong sebutkan tanggalnya),baseline,Calvin,,,,,
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,Delvin,,,,,
Ada acara minggu depan? (tolong sebutkan tanggalnya),engineered,Calvin,,,,,
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,Delvin,,,,,
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",baseline,Calvin,,,,,
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,Delvin,,,,,
"Kapan seminar UIB berikutnya? Jika lebih dari satu, pilih yang paling dekat.",engineered,Calvin,,,,,
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Delvin,,,,,
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,baseline,Calvin,,,,,
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Delvin,,,,,
Urutkan event UIB Oktober 2025 berdasarkan tanggal (awal → akhir).,engineered,Calvin,,,,,
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,Delvin,,,,,
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",baseline,Calvin,,,,,
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,Delvin,,,,,
"Tampilkan event UIB bertipe ‘webinar’ dan ‘certification’ di November 2025, pisahkan per tipe.",engineered,Calvin,,,,,
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Delvin,,,,,
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",baseline,Calvin,,,,,
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Delvin,,,,,
"Ringkas event UIB per bulan (Oktober, November, Desember 2025) dalam bullet singkat.",engineered,Calvin,,,,,
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,Delvin,,,,,
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,baseline,Calvin,,,,,
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,Delvin,,,,,
Sebutkan lokasi setiap event UIB di November 2025 (gedung/ruang).,engineered,Calvin,,,,,
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,Delvin,,,,,
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,baseline,Calvin,,,,,
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,Delvin,,,,,
Rekomendasikan event UIB paling relevan untuk mahasiswa baru pada November 2025 (berdasarkan judul/deskripsi) dan jelaskan alasannya singkat.,engineered,Calvin,,,,,
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,baseline,Delvin,,,,,
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,baseline,Calvin,,,,,
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,engineered,Delvin,,,,,
Tampilkan 3 gambar kampus UIB bertopik ‘UIB Tower’.,engineered,Calvin,,,,,
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,baseline,Delvin,,,,,
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,baseline,Calvin,,,,,
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,engineered,Delvin,,,,,
Cari 3 gambar ‘kampus UIB’ dan tampilkan sumbernya.,engineered,Calvin,,,,,
webinar uib nov 2025 apa aja?,baseline,Delvin,,,,,
webinar uib nov 2025 apa aja?,baseline,Calvin,,,,,
webinar uib nov 2025 apa aja?,engineered,Delvin,,,,,
webinar uib nov 2025 apa aja?,engineered,Calvin,,,,,
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,baseline,Delvin,,,,,
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,baseline,Calvin,,,,,
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,engineered,Delvin,,,,,
Event UIB apa saja yang berbayar di Oktober 2025? Sertakan biaya jika ada.,engineered,Calvin,,,,,
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,baseline,Delvin,,,,,
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,baseline,Calvin,,,,,
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,engineered,Delvin,,,,,
Filter event November 2025 yang lokasinya di kampus utama (sebutkan gedung/ruang).,engineered,Calvin,,,,,
Apakah ada event hibrida (online & offline) di Desember 2025?,baseline,Delvin,,,,,
Apakah ada event hibrida (online & offline) di Desember 2025?,baseline,Calvin,,,,,
Apakah ada event hibrida (online & offline) di Desember 2025?,engineered,Delvin,,,,,
Apakah ada event hibrida (online & offline) di Desember 2025?,engineered,Calvin,,,,,
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",baseline,Delvin,,,,,
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",baseline,Calvin,,,,,
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",engineered,Delvin,,,,,
"Tampilkan semua sertifikasi di Q4 2025, kelompokkan per bulan.",engineered,Calvin,,,,,
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,baseline,Delvin,,,,,
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,baseline,Calvin,,,,,
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,engineered,Delvin,,,,,
Sebutkan event UIB yang berlangsung pada akhir pekan (Sabtu/Minggu) bulan November 2025.,engineered,Calvin,,,,,
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,baseline,Delvin,,,,,
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,baseline,Calvin,,,,,
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,engineered,Delvin,,,,,
Beri saya jadwal lengkap webinar UIB di minggu depan (Senin–Minggu).,engineered,Calvin,,,,,
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,baseline,Delvin,,,,,
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,baseline,Calvin,,,,,
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,engineered,Delvin,,,,,
Tolong buat daftar event ‘cybersecurity’ di Oktober–Desember 2025.,engineered,Calvin,,,,,
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,baseline,Delvin,,,,,
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,baseline,Calvin,,,,,
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,engineered,Delvin,,,,,
Apakah ada event dengan kuota terbatas? Jelaskan cara pendaftarannya jika tersedia.,engineered,Calvin,,,,,
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,baseline,Delvin,,,,,
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,baseline,Calvin,,,,,
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,engineered,Delvin,,,,,
Tampilkan 5 event teratas berdasarkan kedekatan tanggal dari hari ini.,engineered,Calvin,,,,,
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,baseline,Delvin,,,,,
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,baseline,Calvin,,,,,
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,engineered,Delvin,,,,,
Apakah ada event yang mewajibkan pendaftaran melalui Google Form? Sertakan tautannya.,engineered,Calvin,,,,,
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",baseline,Delvin,,,,,
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",baseline,Calvin,,,,,
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",engineered,Delvin,,,,,
"Beri format JSON berisi {title, date, time, location} untuk webinar November 2025.",engineered,Calvin,,,,,
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",baseline,Delvin,,,,,
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",baseline,Calvin,,,,,
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",engineered,Delvin,,,,,
"Buat tabel ringkas (markdown) event sertifikasi di Desember 2025 dengan kolom: Nama, Tanggal, Lokasi, Biaya.",engineered,Calvin,,,,,
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,baseline,Delvin,,,,,
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,baseline,Calvin,,,,,
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,engineered,Delvin,,,,,
Saya hanya ingin event gratis bulan Oktober 2025 yang bertema teknologi.,engineered,Calvin,,,,,
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,baseline,Delvin,,,,,
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,baseline,Calvin,,,,,
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,engineered,Delvin,,,,,
Ada kegiatan pendaftaran lomba yang dibuka di November 2025?,engineered,Calvin,,,,,
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,baseline,Delvin,,,,,
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,baseline,Calvin,,,,,
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,engineered,Delvin,,,,,
Apakah ada event UIB yang relevan untuk siswa SMA kelas 12 di bulan Desember 2025?,engineered,Calvin,,,,,
Daftar event yang berlangsung setelah 15 November 2025.,baseline,Delvin,,,,,
Daftar event yang berlangsung setelah 15 November 2025.,baseline,Calvin,,,,,
Daftar event yang berlangsung setelah 15 November 2025.,engineered,Delvin,,,,,
Daftar event yang berlangsung setelah 15 November 2025.,engineered,Calvin,,,,,
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,baseline,Delvin,,,,,
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,baseline,Calvin,,,,,
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,engineered,Delvin,,,,,
Tampilkan event yang berada di luar kampus UIB (jika ada) pada Q4 2025.,engineered,Calvin,,,,,
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,baseline,Delvin,,,,,
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,baseline,Calvin,,,,,
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,engineered,Delvin,,,,,
Saya ingin 3 rekomendasi event paling bermanfaat untuk persiapan karir di November 2025 beserta alasannya.,engineered,Calvin,,,,,
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",baseline,Delvin,,,,,
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",baseline,Calvin,,,,,
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",engineered,Delvin,,,,,
"Kelompokkan event November 2025 berdasarkan tipe: {webinar, workshop, certification, seminar}.",engineered,Calvin,,,,,
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,baseline,Delvin,,,,,
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,baseline,Calvin,,,,,
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,engineered,Delvin,,,,,
Tolong urutkan event Desember 2025 berdasarkan waktu mulai (pagi→malam).,engineered,Calvin,,,,,
Apakah ada event yang menyediakan e-certificate?,baseline,Delvin,,,,,
Apakah ada event yang menyediakan e-certificate?,baseline,Calvin,,,,,
Apakah ada event yang menyediakan e-certificate?,engineered,Delvin,,,,,
Apakah ada event yang menyediakan e-certificate?,engineered,Calvin,,,,,
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,baseline,Delvin,,,,,
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,baseline,Calvin,,,,,
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,engineered,Delvin,,,,,
Sebutkan event yang berdurasi lebih dari 2 jam di Oktober 2025.,engineered,Calvin,,,,,
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,baseline,Delvin,,,,,
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,baseline,Calvin,,,,,
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,engineered,Delvin,,,,,
Tampilkan event UIB yang diselenggarakan oleh fakultas teknik pada November 2025 (jika ada).,engineered,Calvin,,,,,
Apakah ada event bilingual (ID/EN) di Q4 2025?,baseline,Delvin,,,,,
Apakah ada event bilingual (ID/EN) di Q4 2025?,baseline,Calvin,,,,,
Apakah ada event bilingual (ID/EN) di Q4 2025?,engineered,Delvin,,,,,
Apakah ada event bilingual (ID/EN) di Q4 2025?,engineered,Calvin,,,,,
Cek event yang ada di tanggal 10–20 November 2025.,baseline,Delvin,,,,,
Cek event yang ada di tanggal 10–20 November 2025.,baseline,Calvin,,,,,
Cek event yang ada di tanggal 10–20 November 2025.,engineered,Delvin,,,,,
Cek event yang ada di tanggal 10–20 November 2025.,engineered,Calvin,,,,,
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,baseline,Delvin,,,,,
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,baseline,Calvin,,,,,
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,engineered,Delvin,,,,,
Apa ada sesi tanya jawab (Q&A) pada webinar UIB bulan ini?,engineered,Calvin,,,,,
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,baseline,Delvin,,,,,
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,baseline,Calvin,,,,,
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,engineered,Delvin,,,,,
Berikan daftar event dengan kontak narahubung yang jelas (nama/WA/email).,engineered,Calvin,,,,,
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,baseline,Delvin,,,,,
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,baseline,Calvin,,,,,
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,engineered,Delvin,,,,,
Apakah ada event UIB yang bertopik ‘startup’ pada Desember 2025?,engineered,Calvin,,,,,
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,baseline,Delvin,,,,,
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,baseline,Calvin,,,,,
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,engineered,Delvin,,,,,
Sertifikasi UIB yang paling cepat pendaftarannya tutup pada November 2025 apa?,engineered,Calvin,,,,,
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",baseline,Delvin,,,,,
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",baseline,Calvin,,,,,
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",engineered,Delvin,,,,,
"Jika saya hanya punya waktu hari Sabtu, event apa yang bisa saya ikuti di November 2025?",engineered,Calvin,,,,,
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,baseline,Delvin,,,,,
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,baseline,Calvin,,,,,
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,engineered,Delvin,,,,,
Tampilkan event yang menyediakan materi/slide unduhan setelah acara.,engineered,Calvin,,,,,
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",baseline,Delvin,,,,,
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",baseline,Calvin,,,,,
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",engineered,Delvin,,,,,
"mau ikut webinar bulan 11, apa yang paling dekat tanggalnya?",engineered,Calvin,,,,,
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",baseline,Delvin,,,,,
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",baseline,Calvin,,,,,
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",engineered,Delvin,,,,,
"list-in tanggal, waktu, lokasi untuk semua webinar oktober 2025 (tanpa deskripsi panjang).",engineered,Calvin,,,,,
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,baseline,Delvin,,,,,
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,baseline,Calvin,,,,,
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,engineered,Delvin,,,,,
Bikin ringkasannya saja: 3 poin inti untuk event di Desember 2025.,engineered,Calvin,,,,,
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),baseline,Delvin,,,,,
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),baseline,Calvin,,,,,
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),engineered,Delvin,,,,,
Apakah ada event bertema AI/ML di bulan 10 atau 12? (abaikan November),engineered,Calvin,,,,,
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,baseline,Delvin,,,,,
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,baseline,Calvin,,,,,
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,engineered,Delvin,,,,,
Tolong bedakan event internal UIB vs umum (jika diketahui) untuk November 2025.,engineered,Calvin,,,,,
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,baseline,Delvin,,,,,
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,baseline,Calvin,,,,,
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,engineered,Delvin,,,,,
Saya butuh event yang tidak bentrok dengan jam kuliah pagi (mulai ≥ 13:00) bulan November 2025.,engineered,Calvin,,,,,
Sebutkan semua event yang punya batas kuota peserta.,baseline,Delvin,,,,,
Sebutkan semua event yang punya batas kuota peserta.,baseline,Calvin,,,,,
Sebutkan semua event yang punya batas kuota peserta.,engineered,Delvin,,,,,
Sebutkan semua event yang punya batas kuota peserta.,engineered,Calvin,,,,,
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,baseline,Delvin,,,,,
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,baseline,Calvin,,,,,
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,engineered,Delvin,,,,,
Berikan 2 alternatif event jika acara yang saya inginkan penuh.,engineered,Calvin,,,,,
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,baseline,Delvin,,,,,
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,baseline,Calvin,,,,,
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,engineered,Delvin,,,,,
Tampilkan event yang berlangsung sore/malam (≥ 17:00) di Desember 2025.,engineered,Calvin,,,,,
webinar uib nov25 yang gratis apa aja?,baseline,Delvin,,,,,
webinar uib nov25 yang gratis apa aja?,baseline,Calvin,,,,,
webinar uib nov25 yang gratis apa aja?,engineered,Delvin,,,,,
webinar uib nov25 yang gratis apa aja?,engineered,Calvin,,,,,
Ada info pendaftaran untuk sertifikasi di minggu depan?,baseline,Delvin,,,,,
Ada info pendaftaran untuk sertifikasi di minggu depan?,baseline,Calvin,,,,,
Ada info pendaftaran untuk sertifikasi di minggu depan?,engineered,Delvin,,,,,
Ada info pendaftaran untuk sertifikasi di minggu depan?,engineered,Calvin,,,,,
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",baseline,Delvin,,,,,
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",baseline,Calvin,,,,,
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",engineered,Delvin,,,,,
"Kelompokkan per lokasi kampus (misal UIB Tower, Auditorium, Aula) untuk event November 2025.",engineered,Calvin,,,,,
Apakah ada tur kampus (campus tour) di Q4 2025?,baseline,Delvin,,,,,
Apakah ada tur kampus (campus tour) di Q4 2025?,baseline,Calvin,,,,,
Apakah ada tur kampus (campus tour) di Q4 2025?,engineered,Delvin,,,,,
Apakah ada tur kampus (campus tour) di Q4 2025?,engineered,Calvin,,,,,
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,baseline,Delvin,,,,,
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,baseline,Calvin,,,,,
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,engineered,Delvin,,,,,
Beri saya event 1 hari (bukan berseri) pada Oktober 2025.,engineered,Calvin,,,,,
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,baseline,Delvin,,,,,
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,baseline,Calvin,,,,,
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,engineered,Delvin,,,,,
Tampilkan event yang berlangsung lebih dari 1 hari di Desember 2025.,engineered,Calvin,,,,,
Apakah ada event kolaborasi dengan kampus lain atau industri?,baseline,Delvin,,,,,
Apakah ada event kolaborasi dengan kampus lain atau industri?,baseline,Calvin,,,,,
Apakah ada event kolaborasi dengan kampus lain atau industri?,engineered,Delvin,,,,,
Apakah ada event kolaborasi dengan kampus lain atau industri?,engineered,Calvin,,,,,
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,baseline,Delvin,,,,,
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,baseline,Calvin,,,,,
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,engineered,Delvin,,,,,
Tolong validasi apakah ada event yang dijadwalkan ulang di Q4 2025.,engineered,Calvin,,,,,
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,baseline,Delvin,,,,,
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,baseline,Calvin,,,,,
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,engineered,Delvin,,,,,
Sebutkan event yang relevan untuk jurusan Sistem Informasi (kalau ada).,engineered,Calvin,,,,,
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,baseline,Delvin,,,,,
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,baseline,Calvin,,,,,
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,engineered,Delvin,,,,,
Saya ingin daftar semua event dengan biaya < Rp100.000 di November 2025.,engineered,Calvin,,,,,
Urutkan event berdasarkan biaya (termurah→termahal) bulan Desember 2025.,baseline,Delvin,,,,,
Urutkan event berdasarkan biaya (termurah→termahal) bulan Desember 2025.,baseline,Calvin,,,,,
Urutkan event berdasarkan biaya (termurah→termahal) bulan Desember 2025.,engineered,Delvin,,,,,
Urutkan event berdasarkan biaya (termurah→termahal) bulan Desember 2025.,engineered,Calvin,,,,,
Event apa saja yang butuh registrasi H-1 sebelum acara?,baseline,Delvin,,,,,
Event apa saja yang butuh registrasi H-1 sebelum acara?,baseline,Calvin,,,,,
